State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AR,5,2960,Benton School District,"32,731","5,826",768
AR,5,3060,Bentonville Public Schools,"94,121","18,458","1,130"
AR,5,3090,Bergman School District,"5,030",929,128
AR,5,3150,Berryville Public Schools,"11,233","2,079",342
AR,5,3240,Bismarck Public Schools,"6,341",995,235
AR,5,3300,Blevins School District,"3,444",617,160
AR,5,3320,Blytheville School District,"14,950","2,781",886
AR,5,3450,Booneville School District,"7,400","1,137",240
AR,5,3480,Bradford School District,"2,928",517,117
AR,5,3630,Brinkley School District,"3,690",547,229
AR,5,3640,Brookland School District,"9,925","1,854",228
AR,5,3690,Bryant Public Schools,"53,027","9,873","1,218"
AR,5,3710,Buffalo Island Central School District,"5,002",860,187
AR,5,3750,Cabot Public Schools,"51,731","10,256","1,233"
AR,5,3770,Caddo Hills School District,"3,577",536,164
AR,5,3840,Calico Rock School District,"3,574",398,98
AR,5,6060,Camden Fairview School District,"17,640","2,772",702
AR,5,3960,Carlisle School District,"4,509",759,102
AR,5,4050,Cave City School District,"8,531","1,538",409
AR,5,70,Cedar Ridge School District,"5,638","1,043",184
AR,5,4080,Cedarville School District,"5,360",983,343
AR,5,6690,Centerpoint School District,"5,369",945,207
AR,5,4200,Charleston School District,"4,875",831,145
AR,5,4350,Clarendon School District,"3,051",426,146
AR,5,4380,Clarksville School District,"14,669","2,732",575
AR,5,67,Cleveland County School District,"5,037",830,165
AR,5,4410,Clinton School District,"8,719","1,327",329
AR,5,4560,Concord Public Schools,"4,351",701,125
AR,5,4590,Conway Public Schools,"78,004","11,810","1,852"
AR,5,9,Corning Public Schools,"6,555","1,074",276
AR,5,405,Cossatot River School District,"5,144",997,254
AR,5,4680,Cotter School District,"4,579",677,145
AR,5,4740,County Line School District,"3,292",542,112
AR,5,7740,Cross County School District,"3,399",537,191
AR,5,4800,Crossett School District,"10,807","1,762",392
AR,5,4860,Cutter-Morning Star School District,"3,701",654,132
AR,5,4890,Danville School District,"3,899",817,173
AR,5,4930,Dardanelle Public Schools,"10,008","1,733",355
AR,5,49,De Queen School District,"13,232","2,783",654
AR,5,1,DeWitt School District,"8,046","1,244",275
AR,5,4980,Decatur School District,"4,256",786,107
AR,5,72,Deer/Mount Judea School District,"2,230",305,64
AR,5,5170,Dermott School District,"3,265",437,213
AR,5,5190,Des Arc Public Schools,"3,311",509,89
AR,5,5340,Dierks School District,"2,787",462,68
AR,5,5410,Dollarway School District,"11,307","1,391",501
AR,5,5430,Dover School District,"8,225","1,424",231
AR,5,5470,Drew Central School District,"6,255",897,187
AR,5,5500,Dumas School District,"10,531","1,349",460
AR,5,5550,Earle School District,"2,967",618,179
AR,5,5580,East End School District,"4,062",698,147
AR,5,48,East Poinsett County School District,"3,453",594,173
AR,5,5680,El Dorado School District,"24,407","4,259","1,027"
AR,5,5760,Elkins School District,"5,856","1,153",117
AR,5,68,Emerson-Taylor-Bradley School District,"5,302",820,173
AR,5,5850,England School District,"4,497",762,239
AR,5,5970,Eureka Springs School District,"8,197",754,138
AR,5,6090,Farmington School District,"12,997","2,603",222
AR,5,6120,Fayetteville School District,"92,511","11,711","1,439"
